username,followers,following,bio_length,posts_per_month,account_age_months,verified,label
user_288,1392,853,75,56,24,0,0
user_289,7504,803,55,99,90,0,1
user_290,1014,98,87,78,66,0,1
user_291,8557,738,25,90,18,0,0
user_292,9861,313,165,5,33,0,0
user_293,2693,913,13,46,8,0,0
user_294,3327,238,147,22,54,0,1
user_295,8358,996,68,93,58,0,0
user_296,3438,278,95,14,91,0,0
user_297,4315,841,152,86,2,0,0
user_298,514,714,94,54,95,1,0
user_299,6551,722,6,95,101,0,0
user_300,5921,179,43,66,5,0,0
user_301,9446,904,116,52,18,0,0
user_302,974,998,24,4,104,0,1
user_303,7851,107,129,13,38,0,0
user_304,6205,235,184,16,4,0,0
user_305,957,907,151,12,93,0,0
user_306,6013,34,137,74,20,0,0
user_307,3468,656,156,9,28,0,0
user_308,2019,365,15,98,108,0,1
user_309,3550,955,177,98,74,0,0
user_310,5135,360,103,71,46,0,0
user_311,7088,772,84,59,92,0,1
user_312,7669,588,85,29,85,1,0
user_313,7724,649,176,49,63,1,0
user_314,1570,769,61,60,37,0,0
user_315,8706,781,156,11,35,0,0
user_316,3088,227,95,64,38,0,0
user_317,845,988,182,66,68,0,1
user_318,871,672,63,7,110,1,0
user_319,1150,178,199,32,87,0,0
user_320,3612,287,104,49,54,0,0
user_321,5546,791,16,2,47,0,1
user_322,4896,106,151,20,40,1,0
user_323,8466,119,161,33,79,0,0
user_324,9539,545,80,88,55,0,0
user_325,7711,414,152,98,20,0,0
user_326,380,861,167,82,97,0,0
user_327,6810,382,79,44,83,0,0
user_328,9509,22,67,81,65,0,0
user_329,8801,876,120,43,104,0,0
user_330,2646,66,66,42,88,0,0
user_331,6266,2,147,28,119,0,0
user_332,3322,834,167,91,65,0,0
user_333,3113,50,138,95,73,0,0
user_334,7943,62,153,13,64,0,1
user_335,2453,202,26,64,4,0,0
user_336,7598,856,65,13,75,0,1
user_337,2302,939,127,99,91,0,0
user_338,5833,857,42,67,51,0,1
user_339,9122,606,186,34,92,1,1
user_340,1588,128,179,49,28,0,0
user_341,7679,235,129,91,20,0,1
user_342,355,316,28,34,78,0,0
user_343,9605,116,139,55,22,0,0
user_344,9116,967,51,65,58,0,0
user_345,3292,65,126,45,112,0,0
user_346,6564,25,27,37,47,0,1
user_347,6726,57,93,18,50,0,0
user_348,3500,589,44,63,86,0,0
user_349,2349,906,9,32,119,0,0
user_350,7736,740,10,10,9,0,0
user_351,2002,646,21,18,82,0,1
user_352,4736,633,147,20,98,0,0
user_353,5610,774,147,24,46,0,0
user_354,1666,335,142,28,87,0,0
user_355,9657,581,13,72,46,0,0
user_356,3908,397,24,37,99,0,0
user_357,2155,554,50,22,60,0,0
user_358,4468,200,21,81,38,0,1
user_359,6529,414,79,67,6,0,0
user_360,8838,191,30,84,39,0,0
user_361,3361,818,85,25,77,0,1
user_362,4141,149,130,27,57,0,0
user_363,4910,159,21,1,107,0,1
user_364,8840,428,103,85,6,0,0
user_365,8445,237,91,44,46,0,0
user_366,9883,87,165,19,61,1,0
user_367,6846,684,190,56,63,1,1
user_368,5809,735,46,54,117,1,0
user_369,89,974,55,56,114,1,1
user_370,1528,718,104,22,50,0,0
user_371,3800,694,65,10,98,0,1
user_372,7681,292,100,14,18,0,0
user_373,5342,188,126,33,70,0,0
user_374,5471,590,120,27,9,0,0
user_375,9003,432,5,29,113,0,0
user_376,1392,325,81,29,17,0,0
user_377,7793,552,164,70,53,0,0
user_378,2799,990,166,8,86,0,0
user_379,899,437,11,85,16,0,0
user_380,5316,284,192,10,112,0,0
user_381,2466,911,122,93,26,0,0
user_382,791,508,104,19,87,0,0
user_383,9769,795,145,34,111,0,0
user_384,6017,922,197,32,41,0,0
user_385,4348,944,107,63,115,0,0
user_386,9969,921,153,31,110,0,0
user_387,7180,82,33,69,33,0,0
user_388,2184,195,55,82,112,0,0
user_389,3013,848,93,67,41,0,0
user_390,9326,621,36,37,111,0,1
user_391,8254,180,194,93,16,0,0
user_392,8112,328,50,45,2,0,0
user_393,2736,15,76,15,119,0,0
user_394,2872,684,134,60,89,0,1
user_395,4365,186,57,76,45,0,1
user_396,6220,411,103,59,49,0,0
user_397,6917,692,167,16,67,1,0
user_398,9549,82,38,49,63,0,0
user_399,2838,776,91,84,66,0,0
user_400,9680,150,159,16,13,0,1
user_401,4304,752,176,9,69,1,0
user_402,4697,211,199,41,44,0,0
user_403,1420,512,166,83,12,1,0
user_404,3343,853,13,21,51,0,0
user_405,105,987,35,41,67,0,0
user_406,913,350,30,28,76,1,0
user_407,628,97,128,41,51,0,1
user_408,3576,657,146,14,27,0,0
user_409,1317,589,151,87,74,0,0
user_410,6992,295,91,85,62,0,0
user_411,176,823,55,70,66,0,0
user_412,5502,805,9,27,6,0,0
user_413,3090,560,194,87,113,1,0
user_414,8157,835,85,47,58,0,0
user_415,7503,381,54,35,61,0,0
user_416,6235,3,159,86,92,0,0
user_417,9432,405,60,39,104,0,0
user_418,1742,957,67,12,22,0,0
user_419,8496,96,84,88,91,1,0
user_420,4489,837,169,29,110,0,0
user_421,7341,69,94,54,86,0,1
user_422,5424,980,54,19,98,0,0
user_423,1490,364,11,15,113,1,1
user_424,1131,385,50,60,8,0,1
user_425,7315,289,95,28,73,1,0
user_426,5377,169,47,45,78,0,0
user_427,7488,262,57,59,61,0,0
user_428,1359,795,148,45,89,1,0
user_429,4934,533,126,61,47,0,0
user_430,5303,43,195,59,19,0,0
user_431,602,938,9,11,78,1,0
user_432,2753,694,130,93,20,0,0
user_433,2360,244,176,76,3,0,0
user_434,2624,322,169,15,54,0,0
user_435,3423,902,21,62,20,0,0
user_436,4023,76,191,65,40,1,0
user_437,8963,712,117,15,3,0,0
user_438,4517,787,56,47,59,0,0
user_439,1239,619,138,67,57,0,0
user_440,7630,423,183,58,8,0,0
user_441,3822,499,104,50,84,0,0
user_442,7324,320,121,87,47,0,0
user_443,4913,499,110,47,73,0,1
user_444,3663,757,181,95,46,0,0
user_445,1235,92,175,94,99,0,0
user_446,2523,135,114,93,89,0,1
user_447,9373,20,119,72,6,0,0
user_448,3752,737,163,85,10,0,0
user_449,2210,74,161,52,61,0,0
user_450,1975,223,176,14,100,0,0
user_451,1627,18,97,2,62,0,1
user_452,1783,242,168,26,10,1,1
user_453,2411,975,46,45,58,1,1
user_454,9025,378,81,0,53,0,1
user_455,2862,603,108,61,38,0,0
user_456,3469,898,89,64,100,0,1
user_457,7149,681,94,86,52,0,0
user_458,4601,533,110,40,103,0,0
user_459,3571,751,82,97,50,0,0
user_460,791,394,149,3,36,0,1
user_461,3532,691,117,38,119,0,0
user_462,7113,352,99,49,111,0,0
user_463,3482,854,25,37,36,0,0
user_464,5404,833,107,71,115,0,1
user_465,6671,967,20,35,79,0,0
user_466,9314,74,115,66,108,1,0
user_467,85,272,4,42,39,0,1
user_468,3767,408,190,4,21,0,1
user_469,5192,318,177,41,3,0,1
user_470,6030,671,65,35,4,0,0
user_471,3868,14,137,62,108,0,1
user_472,8201,651,68,49,64,0,1
user_473,1875,264,115,29,96,0,0
user_474,8736,309,169,29,74,0,1
user_475,2755,895,136,90,63,0,1
user_476,3593,485,141,73,34,0,0
user_477,1698,436,77,25,94,0,0
user_478,3032,758,94,14,85,1,0
user_479,9025,223,69,9,18,0,0
user_480,5156,890,10,99,104,0,0
user_481,3063,103,112,93,74,0,0
user_482,8294,493,136,63,15,0,0
user_483,8234,198,187,88,24,0,0
user_484,8659,456,165,22,13,0,0
user_485,5412,917,18,59,49,0,0
user_486,8463,989,79,77,78,0,0
user_487,2942,933,182,20,79,0,1
user_488,4003,776,132,94,52,0,0
user_489,8021,701,108,18,13,0,0
user_490,9655,61,104,87,108,0,0
user_491,4107,689,84,77,45,0,0
user_492,2554,991,119,6,68,0,0
user_493,8490,440,174,37,33,0,0
user_494,228,742,56,85,86,0,0
user_495,8481,807,199,29,56,0,1
user_496,7443,307,161,98,43,0,0
user_497,4238,76,97,67,100,0,0
user_498,8459,740,188,71,105,1,0
user_499,9624,977,168,24,81,0,0
user_500,6033,240,48,79,90,0,0
user_501,5663,833,95,9,56,0,1
user_502,5905,105,136,55,83,0,0
user_503,8022,688,142,85,82,0,0
user_504,8745,905,40,80,106,0,1
user_505,6507,431,192,91,34,0,1
user_506,6443,744,81,99,16,0,1
user_507,3176,797,56,23,7,0,0
user_508,4778,833,59,90,60,0,0
user_509,4505,205,60,43,10,0,0
user_510,3740,485,106,20,102,0,0
user_511,2000,649,67,8,85,1,0
user_512,3329,767,51,80,29,0,0
user_513,2589,408,132,20,117,0,0
user_514,2698,283,21,10,44,0,0
user_515,3968,956,115,68,79,0,1
user_516,5458,552,140,81,63,1,1
user_517,1624,232,174,11,93,0,0
user_518,3221,14,0,51,31,0,1
user_519,3125,496,117,57,3,0,1
user_520,9204,159,181,77,51,0,0
user_521,9413,288,8,0,117,0,1
user_522,3062,379,90,92,104,0,0
user_523,734,890,119,76,59,1,1
user_524,1333,830,121,56,67,0,0
user_525,5058,371,144,62,27,0,0
user_526,5124,324,67,60,59,0,0
user_527,77,672,133,11,106,0,1
user_528,4448,119,114,40,48,0,0
user_529,2339,710,186,86,90,1,0
user_530,9361,772,73,75,119,0,1
user_531,2217,710,43,39,64,0,0
user_532,1156,681,63,19,75,0,0
user_533,2455,614,142,96,59,0,0
user_534,6094,62,160,3,86,0,1
user_535,2121,369,51,99,109,0,0
user_536,3261,207,30,13,51,0,0
user_537,3529,468,95,80,39,0,0
user_538,8277,973,143,84,113,0,0
user_539,4726,796,144,48,8,0,0
user_540,6626,781,63,43,29,0,0
user_541,952,627,39,77,57,0,0
user_542,4311,945,77,10,39,0,0
user_543,3861,849,197,92,100,0,0
user_544,1160,996,29,0,5,0,1
user_545,9611,31,181,41,22,0,0
user_546,9330,166,24,38,116,0,0
user_547,9841,979,77,27,81,0,1
user_548,8363,183,130,25,114,0,0
user_549,6641,955,178,99,53,1,0
user_550,5890,634,161,59,95,1,1
user_551,5593,980,30,80,56,0,0
user_552,2003,97,31,83,7,0,1
user_553,2560,653,118,5,31,1,0
user_554,668,264,94,33,103,0,0
user_555,263,609,70,0,33,1,0
user_556,5324,407,90,97,7,0,1
user_557,7343,9,8,46,108,0,0
user_558,5844,624,44,70,71,0,0
user_559,8473,336,159,46,62,0,0
user_560,4969,675,82,44,27,0,0
user_561,6956,541,183,20,2,0,1
user_562,3808,72,112,12,65,0,0
user_563,453,733,109,3,90,0,1
user_564,870,944,155,35,20,0,0
user_565,4772,472,192,82,31,0,0
user_566,854,77,178,3,48,1,1
user_567,343,409,68,32,89,0,0
user_568,1504,848,27,64,81,0,0
user_569,6491,417,186,46,40,0,0
user_570,2539,526,161,82,2,0,0
user_571,4108,191,83,65,36,0,0
user_572,1698,440,147,11,63,0,1
user_573,6070,912,108,85,78,0,0
user_574,136,16,181,19,112,0,0
user_575,5470,726,137,1,34,0,1
user_576,9099,845,139,20,79,0,0
user_577,4949,89,98,86,110,0,0
user_578,8783,782,109,41,71,0,1
user_579,6474,772,30,92,89,0,1
user_580,9891,65,179,99,40,0,0
user_581,1950,803,87,69,63,0,0
user_582,3012,248,102,94,82,0,1
user_583,4789,204,26,38,62,1,0
user_584,8245,143,97,77,60,1,1
user_585,7769,523,137,86,69,0,0
user_586,176,217,24,20,112,0,0
user_587,1597,687,148,88,71,0,1
user_588,9494,398,4,9,100,0,0
user_589,7871,265,195,39,91,0,0
user_590,8853,150,29,64,11,0,0
user_591,6305,150,7,3,105,0,1
user_592,3659,705,50,80,25,0,1
user_593,7408,494,151,24,18,0,1
user_594,3580,310,13,96,13,1,0
user_595,8442,302,66,79,80,0,1
user_596,1626,56,178,62,99,0,0
user_597,2667,859,11,72,64,0,1
user_598,1036,234,180,42,29,1,1
user_599,2544,59,16,58,96,0,0
user_600,8282,780,73,2,63,0,1
user_601,2325,65,121,40,109,0,0
user_602,254,167,7,19,97,0,1
user_603,5421,301,1,44,39,0,0
user_604,9644,720,76,0,8,0,1
user_605,9274,627,132,11,31,0,0
user_606,9007,286,154,30,40,0,0
user_607,8540,351,94,3,104,0,1
user_608,5658,556,37,11,56,0,0
user_609,6282,147,112,0,61,0,1
user_610,2471,265,13,10,19,0,1
user_611,1895,496,11,47,28,0,0
user_612,8016,319,96,68,101,0,0
user_613,9303,778,56,8,118,0,1
user_614,557,715,192,78,91,0,0
user_615,6481,427,55,68,64,0,0
user_616,5444,4,60,79,114,0,1
user_617,2952,241,10,36,63,0,0
user_618,1250,71,71,6,111,0,0
user_619,3513,468,20,85,86,0,0
user_620,5740,115,110,92,109,0,0
user_621,4035,591,49,93,9,0,0
user_622,6697,61,89,6,81,1,0
user_623,358,467,187,58,48,0,0
user_624,494,871,166,12,88,0,0
user_625,1594,959,82,63,112,0,0
user_626,2132,108,70,74,72,0,0
user_627,810,849,1,30,51,0,0
user_628,6636,12,137,95,41,0,1
user_629,8517,749,178,11,98,0,1
user_630,1521,786,83,24,114,0,0
user_631,9577,743,40,0,71,0,1
user_632,6923,99,167,16,111,0,0
user_633,8464,889,99,61,93,0,0
user_634,2047,441,68,25,9,0,0
user_635,6590,909,59,44,82,0,1
user_636,7468,847,136,22,38,0,0
user_637,3414,514,36,93,81,0,1
user_638,4675,309,76,46,23,0,0
user_639,3520,354,57,95,68,1,0
user_640,1943,814,144,58,29,0,0
user_641,8983,877,182,25,48,0,0
user_642,6764,298,96,97,40,0,1
user_643,9568,85,95,93,10,1,0
user_644,5072,554,57,6,17,0,0
user_645,1239,643,137,37,78,0,0
user_646,2947,462,119,25,40,0,0
user_647,9999,973,98,68,77,0,0
user_648,1063,913,154,86,119,0,0
user_649,3977,509,181,89,88,0,0
user_650,3633,366,37,98,83,0,0
user_651,9809,17,108,67,114,0,0
user_652,3385,448,60,37,114,0,0
user_653,5156,672,98,68,57,0,0
user_654,8593,925,77,99,103,0,0
user_655,5655,908,153,16,93,0,0
user_656,3346,208,154,24,84,0,0
user_657,3767,946,191,32,57,0,1
user_658,1021,469,167,88,8,0,0
user_659,4877,920,100,12,41,0,1
user_660,7270,371,198,30,45,0,1
user_661,9418,732,19,44,85,0,0
user_662,6652,825,164,41,117,0,0
user_663,2477,709,196,50,79,0,1
user_664,5842,261,61,61,82,0,0
user_665,8848,194,194,9,81,0,0
user_666,61,403,41,46,27,0,0
user_667,6667,152,11,74,4,0,0
user_668,3927,158,170,27,80,0,0
user_669,6663,875,81,66,71,0,0
user_670,2216,961,153,23,67,0,1
user_671,8962,956,177,23,114,0,0
user_672,4072,288,172,93,25,1,1
user_673,4029,188,63,51,109,0,0
user_674,2250,453,85,11,47,0,0
user_675,4950,525,118,13,41,0,0
user_676,9389,341,0,91,26,0,0
user_677,9826,471,162,72,101,1,0
user_678,8447,875,142,0,86,0,1
user_679,8821,158,7,8,65,0,0
user_680,9633,142,141,99,16,0,0
user_681,2431,500,142,20,14,0,0
user_682,8137,206,56,35,116,0,0
user_683,5514,717,31,51,11,0,1
user_684,6480,459,51,7,32,0,1
user_685,3506,628,196,37,93,0,0
user_686,7525,909,100,24,113,1,0
user_687,9643,442,180,75,35,1,0
user_688,9683,564,173,35,103,0,0
user_689,1459,583,73,51,62,0,0
user_690,6004,443,194,24,101,0,1
user_691,1906,753,97,61,9,0,0
user_692,1104,9,62,71,31,0,0
user_693,936,820,176,46,1,0,0
user_694,237,585,111,89,37,1,0
user_695,8387,915,120,9,112,1,1
user_696,4525,812,11,36,24,0,0
user_697,4882,767,156,39,110,1,0
user_698,7755,355,136,83,69,0,0
user_699,2837,629,172,70,25,0,1
user_700,5964,961,46,65,94,1,1
user_701,4082,268,144,7,93,0,0
user_702,5045,351,73,88,8,0,0
user_703,4315,813,189,7,19,0,0
user_704,9267,131,94,29,65,0,0
user_705,5562,228,63,34,3,0,1
user_706,3436,702,141,35,27,0,0
user_707,1107,255,109,2,105,0,1
user_708,1151,547,18,99,78,0,0
user_709,2786,555,47,7,20,0,0
user_710,2883,563,0,73,23,0,0
user_711,2314,454,177,1,69,0,1
user_712,1205,384,185,20,56,0,1
user_713,4584,30,169,22,60,0,0
user_714,533,876,83,97,21,0,0
user_715,6512,488,69,41,110,0,0
user_716,4422,228,55,16,35,1,0
user_717,1584,576,5,98,3,0,0
user_718,761,393,105,51,67,0,0
user_719,4608,387,134,55,27,0,0
user_720,3299,147,73,3,57,0,1
user_721,9159,757,118,42,89,0,0
user_722,6631,689,108,38,21,1,0
user_723,2325,481,24,79,101,0,0
user_724,8967,412,58,45,32,0,0
user_725,1999,938,97,32,68,0,1
user_726,5631,821,89,80,63,0,0
user_727,4395,905,153,43,45,0,0
user_728,2752,128,158,9,92,0,0
user_729,4502,100,189,6,75,0,1
user_730,7123,137,160,58,56,0,0
user_731,1761,586,13,70,27,0,0
user_732,6393,935,170,55,90,0,0
user_733,4932,676,83,19,58,0,0
user_734,9491,340,103,82,5,0,0
user_735,8664,84,107,38,73,1,0
user_736,1919,984,107,31,1,0,0
